"practice_code","practice_name","overall_achievement","stia007_numerator","stia007_denominator","stia014_numerator","stia014_denominator","stia015_numerator","stia015_denominator","prop_stia007","prop_stia014","prop_stia015","imd_rank","total_patients","patients_65_plus","patients_female","prop_65_plus","prop_female","stroke_prevalence","imd_quintile","listsize_quintile","prevalence_quintile","age65_quintile","female_quintile"
"P81033","Coppull Medical Practice",1,150,152,98,124,67,75,0.986842105263158,0.790322580645161,0.893333333333333,19471,8021,1942,3988,0.242114449569879,0.497194863483356,0.0189502555791049,2,3,5,4,2
"P81701","Dr Dawoud's Surgery",1,43,44,35,41,16,18,0.977272727272727,0.853658536585366,0.888888888888889,5679,2971,638,1457,0.214742510939078,0.490407270279367,0.0148098283406261,4,1,4,4,2
"Y00347","Dr Jacobs Surgery",1,76,77,71,82,29,31,0.987012987012987,0.865853658536585,0.935483870967742,27738,5487,1123,2717,0.204665573172954,0.495170402770184,0.0140331693092765,1,2,4,4,2
"P81127","Gab Healthcare",0.870909090909091,115,119,93,135,39,52,0.966386554621849,0.688888888888889,0.75,8729,9724,1669,4915,0.171637186343069,0.50545043192102,0.0122377622377622,4,3,3,3,3
"P81154","Granville House Med Ctre",0.988181818181818,112,119,99,121,63,68,0.941176470588235,0.818181818181818,0.926470588235294,27848,8056,2183,4156,0.270978152929494,0.515888778550149,0.0147715988083416,1,3,4,5,5
"P81181","Kingsfold Medical Centre",1,84,84,63,79,39,46,1,0.79746835443038,0.847826086956522,13166,5291,1134,2727,0.214326214326214,0.515403515403515,0.0158760158760159,3,1,4,4,5
"P81044","Library House Surgery",1,235,236,176,234,128,147,0.995762711864407,0.752136752136752,0.870748299319728,8729,16823,3622,8486,0.215300481483683,0.504428461035487,0.0140284134815431,4,5,4,4,3
"P81186","Moss Side Medical Centre",0.823636363636363,73,73,46,68,24,36,1,0.676470588235294,0.666666666666667,15167,4742,983,2412,0.207296499367356,0.508646140868832,0.0153943483762126,3,1,4,4,4
"P81687","New Longton Surgery",1,50,50,38,44,35,36,1,0.863636363636364,0.972222222222222,30159,2087,675,1127,0.323430761859128,0.540009583133685,0.0239578342117873,1,1,5,5,5
"P81062","Regent House Surgery",1,109,110,68,92,65,70,0.990909090909091,0.739130434782609,0.928571428571429,8729,7620,1720,3874,0.225721784776903,0.508398950131234,0.0144356955380577,4,2,4,4,4
"P81083","Roslea Surgery",1,126,129,93,109,77,81,0.976744186046512,0.853211009174312,0.950617283950617,5813,8644,2101,4388,0.243058769088385,0.507635354002776,0.0149236464599722,4,3,4,4,4
"P81076","Sandy Lane Surgery",1,135,137,120,145,66,74,0.985401459854015,0.827586206896552,0.891891891891892,25296,10790,2554,5453,0.236700648748842,0.505375347544022,0.0126969416126043,1,4,3,4,3
"P81741","Station Surgery",0.893636363636364,21,21,15,22,6,8,1,0.681818181818182,0.75,22012,2424,328,1150,0.135313531353135,0.474422442244224,0.00866336633663366,2,1,2,2,1
"P81038","The Chorley Surgery",1,134,136,112,134,67,73,0.985294117647059,0.835820895522388,0.917808219178082,8729,10038,1906,5054,0.189878461844989,0.503486750348675,0.0135485156405658,4,3,3,3,3
"P81171","The Euxton Medical Centre",1,59,60,57,62,25,27,0.983333333333333,0.919354838709677,0.925925925925926,14055,4613,1116,2348,0.241924994580533,0.508996314762627,0.0130067201387383,3,1,3,4,4
"P81082","The Ryan Medical Centre",1,155,158,138,152,98,106,0.981012658227848,0.907894736842105,0.924528301886792,7358,10729,2597,5453,0.242054245502843,0.508248671824028,0.0147264423525026,4,4,4,4,4
"P81655","The Village Surgeries Croston&Eccleston",1,143,145,111,144,83,93,0.986206896551724,0.770833333333333,0.89247311827957,27856,10403,2519,5287,0.242141689897145,0.508218783043353,0.0139382870325868,1,4,4,4,4
"P81143","Whittle Surgery",1,134,135,88,117,67,76,0.992592592592593,0.752136752136752,0.881578947368421,27944,11598,2390,5799,0.206070012071047,0.5,0.0116399379203311,1,4,3,4,3
"P81010","Withnell Health Centre",1,61,62,54,57,37,38,0.983870967741935,0.947368421052632,0.973684210526316,17120,5581,1286,2878,0.230424655079735,0.515678193872066,0.0111091202293496,2,2,3,4,5
"P81057","Worden Medical Centre",0.901818181818182,190,199,136,167,92,101,0.954773869346734,0.81437125748503,0.910891089108911,22012,14082,3078,7173,0.218576906689391,0.509373668512995,0.0141315154097429,2,5,4,4,4
"P85015","Alexandra Group Med Pract",0.953636363636364,83,89,70,95,26,34,0.932584269662921,0.736842105263158,0.764705882352941,738,7609,905,3864,0.118938099618872,0.507819687212511,0.0116966749901433,5,2,3,2,4
"P85011","Ch Medical Practice",0.964545454545454,142,151,130,158,64,80,0.940397350993378,0.822784810126582,0.8,6035,12741,2045,6482,0.160505454830861,0.508751275410093,0.0118515030217408,4,4,3,2,4
"P85004","Chadderton Medical Practice",0.975454545454545,70,70,63,80,20,25,1,0.7875,0.8,2052,6142,847,3062,0.137902963204168,0.498534679257571,0.0113969391077825,5,2,3,2,3
"P85622","Glodwick Medical Practice",0.860909090909091,85,85,88,104,33,35,1,0.846153846153846,0.942857142857143,738,11151,755,5433,0.0677069321137118,0.487220877051386,0.00762263474127881,5,4,2,1,2
"P85021","Greenbank Medical Practice",1,115,116,128,147,31,33,0.991379310344828,0.870748299319728,0.939393939393939,738,10334,1083,5159,0.104799690342559,0.499225856396362,0.0112250822527579,5,4,3,1,3
